Code,Area,Date,Municipality,Use,Stratum,Consumption
0RUROBR1,U,2014-07-31,ROBERTO PAYAN,Residential Sub,1,41933.965
0MRMAGR1,R,2011-11-30,MAGUI,Residential Sub,1,41968.436
C0UELR1,U,2011-01-31,EL ROSARIO,Residential,1,42172.852
C0UELR1,U,2011-05-31,EL ROSARIO,Residential,1,42191.037
C0UELR1,U,2013-08-31,EL ROSARIO,Residential,1,42197.619
0RUROBR1,U,2013-12-31,ROBERTO PAYAN,Residential Sub,1,42219.603
0RUROBR1,U,2014-08-31,ROBERTO PAYAN,Residential Sub,1,42440.251
0MUMAGR1,U,2013-04-30,MAGUI,Residential Sub,1,42521.869
8UBARC0,U,2012-01-31,BARBACOAS,Commercial,0,42692.237
C0UELR1,U,2012-11-30,EL ROSARIO,Residential,1,42942.343
0RUROBR1,U,2014-12-31,ROBERTO PAYAN,Residential Sub,1,43319.414
C0UELR1,U,2013-05-31,EL ROSARIO,Residential,1,43334.272
0RUROBR1,U,2015-11-30,ROBERTO PAYAN,Residential Sub,1,43453.063
8UBARR2,U,2013-02-28,BARBACOAS,Residential,2,43464.486
0MUMAGR1,U,2012-10-31,MAGUI,Residential Sub,1,43522.356
C0UELR1,U,2012-10-31,EL ROSARIO,Residential,1,43574.072
0RUROBR1,U,2014-05-31,ROBERTO PAYAN,Residential Sub,1,43637.009
0MRMAGR1,R,2013-03-31,MAGUI,Residential Sub,1,43749.598
0MUMAGR1,U,2013-02-28,MAGUI,Residential Sub,1,43788.577
0MRMAGR1,R,2012-10-31,MAGUI,Residential Sub,1,43805.565
0RUROBR1,U,2014-09-30,ROBERTO PAYAN,Residential Sub,1,44042.884
C0UELR1,U,2013-07-31,EL ROSARIO,Residential,1,44155.136
0MRMAGR1,R,2012-01-31,MAGUI,Residential Sub,1,44321.837
0RUROBR1,U,2012-03-31,ROBERTO PAYAN,Residential Sub,1,44324.688
C0UELR1,U,2013-06-30,EL ROSARIO,Residential,1,44666.807
0MRMAGR1,R,2013-02-28,MAGUI,Residential Sub,1,45357.921
0RUROBR1,U,2013-03-31,ROBERTO PAYAN,Residential Sub,1,45463.275
8UBARR2,U,2012-12-31,BARBACOAS,Residential,2,45507.532
0MUMAGR1,U,2012-11-30,MAGUI,Residential Sub,1,45619.076
8UBARC0,U,2015-09-30,BARBACOAS,Commercial,0,45682.447
8UBARR2,U,2013-06-30,BARBACOAS,Residential,2,45950.271
0MRMAGR1,R,2012-11-30,MAGUI,Residential Sub,1,46105.082
0RUROBR1,U,2012-06-30,ROBERTO PAYAN,Residential Sub,1,46136.037
0RUROBR1,U,2016-05-31,ROBERTO PAYAN,Residential Sub,1,46583.435
0RUROBR1,U,2015-12-31,ROBERTO PAYAN,Residential Sub,1,46655.479
0RUROBR1,U,2011-06-30,ROBERTO PAYAN,Residential Sub,1,46689.353
8UBARR2,U,2012-07-31,BARBACOAS,Residential,2,46728.984
C0UELR1,U,2011-07-31,EL ROSARIO,Residential,1,46744.371
8UBARC0,U,2011-01-31,BARBACOAS,Commercial,0,46814.14
C0UELR1,U,2013-04-30,EL ROSARIO,Residential,1,46869.109
C0UELR1,U,2012-12-31,EL ROSARIO,Residential,1,46994.754
C0UELR1,U,2011-03-31,EL ROSARIO,Residential,1,47256.409
8UBARC0,U,2013-06-30,BARBACOAS,Commercial,0,47289.962
0RUROBR1,U,2011-02-28,ROBERTO PAYAN,Residential Sub,1,47342.973
0RUROBR1,U,2014-01-31,ROBERTO PAYAN,Residential Sub,1,47434.07
0RUROBR1,U,2011-03-31,ROBERTO PAYAN,Residential Sub,1,47496.982
8UBARC0,U,2013-02-28,BARBACOAS,Commercial,0,47524.654
0RUROBR1,U,2012-12-31,ROBERTO PAYAN,Residential Sub,1,47577.352
C0UELR1,U,2013-11-30,EL ROSARIO,Residential,1,47720.41
0MRMAGR1,R,2013-04-30,MAGUI,Residential Sub,1,47746.018
0RUROBR1,U,2011-10-31,ROBERTO PAYAN,Residential Sub,1,47829.535
0RUROBR1,U,2014-11-30,ROBERTO PAYAN,Residential Sub,1,48353.029
0MUMAGR1,U,2015-08-31,MAGUI,Residential Sub,1,48752.743
0MUMAGR1,U,2015-07-31,MAGUI,Residential Sub,1,48916.969
8UBARC0,U,2012-09-30,BARBACOAS,Commercial,0,49178.365
8RBARR1,R,2016-01-31,BARBACOAS,Residential,1,49295.799
0RUROBR1,U,2012-05-31,ROBERTO PAYAN,Residential Sub,1,49451.258
0RUROBR1,U,2011-09-30,ROBERTO PAYAN,Residential Sub,1,49661.356
C0UELR1,U,2013-12-31,EL ROSARIO,Residential,1,49687.947
8UBARR2,U,2012-11-30,BARBACOAS,Residential,2,49789.065
0MUMAGR1,U,2013-01-31,MAGUI,Residential Sub,1,49812.84
C0UELR1,U,2014-02-28,EL ROSARIO,Residential,1,49848.799
0RUROBR1,U,2011-07-31,ROBERTO PAYAN,Residential Sub,1,49918.062
8RBARR1,R,2016-05-31,BARBACOAS,Residential,1,49950.867
C0UELR1,U,2013-10-31,EL ROSARIO,Residential,1,50168.665
8UBARR2,U,2012-08-31,BARBACOAS,Residential,2,50248.096
0RUROBR1,U,2016-01-31,ROBERTO PAYAN,Residential Sub,1,50392.358
8UBARR2,U,2013-04-30,BARBACOAS,Residential,2,50394.194
C0UELR1,U,2012-08-31,EL ROSARIO,Residential,1,50474.242
C0UELR1,U,2012-03-31,EL ROSARIO,Residential,1,50496.027
C0UPOLR1,U,2011-04-30,POLICARPA,Residential,1,50506.067
0RUROBR1,U,2016-04-30,ROBERTO PAYAN,Residential Sub,1,50778.258
0MRMAGR1,R,2013-01-31,MAGUI,Residential Sub,1,50919.116
C0UELR1,U,2012-09-30,EL ROSARIO,Residential,1,50939.658
C0UELR1,U,2011-10-31,EL ROSARIO,Residential,1,50946.36
8UBARR2,U,2013-05-31,BARBACOAS,Residential,2,50960.9
C0UELR1,U,2013-03-31,EL ROSARIO,Residential,1,51057.166
C0UPOLR1,U,2014-12-31,POLICARPA,Residential,1,51103.68
8UBARC0,U,2013-04-30,BARBACOAS,Commercial,0,51168.628
8UBARR1,U,2015-11-30,BARBACOAS,Residential Sub,1,51169.062
0RUROBR1,U,2012-08-31,ROBERTO PAYAN,Residential Sub,1,51285.039
8RBARR1,R,2016-03-31,BARBACOAS,Residential,1,51290.978
